"","Metabolite","Estimate","SE","LCI","UCI","Pval"
"163","S.HDL.PL..",1.33933346228942,0.0753066066594346,1.1547786500681,1.55181216000784,0.000104556649720232
"138","M.LDL.PL..",1.28636471007975,0.0695337493751566,1.11935300159898,1.47110227281639,0.000292839349443982
"143","S.LDL.PL..",1.28856856441322,0.0702112843723765,1.12039795444979,1.47615143540462,0.00030503517361208
"139","M.LDL.C..",0.792235525692747,0.0665173057675044,0.69714826013766,0.906198011985734,0.000463007195136128
"144","S.LDL.C..",0.799100189765967,0.0653704865301042,0.704550792131632,0.911851649616825,0.000601943883679227
"205","PUFA.FA",0.786598842667458,0.0709610706312963,0.685509064601261,0.905745942752566,0.000717884965780259
"140","M.LDL.CE..",0.792452528812122,0.0690464414010969,0.693669989054934,0.91145571664592,0.000754207607774946
"145","S.LDL.CE..",0.803222317963547,0.0653449523904611,0.707267016210329,0.916187443309952,0.000798429961780679
"126","XS.VLDL.FC..",0.785933838534447,0.0725921834510385,0.682293473211931,0.909140269911928,0.000905670538624635
"164","S.HDL.C..",0.794392315532125,0.0699380121648178,0.693951246357411,0.913974319746922,0.000997718426362404
"228","age",1.29639472532361,0.0809216229418943,1.10902154275224,1.52343491739547,0.0013371574096929
"207","SFA.FA",1.2710046967249,0.0758677356767816,1.09512597943724,1.4744668040363,0.00157301262988219
"193","UnSat",0.792844138684462,0.0743662705929833,0.685599239532953,0.917814642860438,0.00179979015048625
"123","XS.VLDL.PL..",0.800371476082779,0.0725730478043094,0.696473248796014,0.926971650347336,0.00215246315168127
"110","L.VLDL.CE..",0.790823172220748,0.0776594496659847,0.678706576112745,0.921391229787242,0.00251174338054531
"201","DHA.FA",0.789517627588026,0.0791501205507424,0.675595317036233,0.921425739545868,0.00282759419600083
"165","S.HDL.CE..",0.815792433651305,0.0683931110319434,0.714318299423872,0.936217895052104,0.00291236258260625
"204","FAw6.FA",0.810410433636669,0.0719833760545863,0.705003472437524,0.935258155801354,0.00349672774553096
"95","S.HDL.CE",0.812214668256688,0.0725128966633955,0.706021906537146,0.938719538034395,0.00412650515960969
"166","S.HDL.FC..",1.24754111523276,0.0775842438919069,1.07139336013153,1.45245272201361,0.00436140857326424
"147","S.LDL.TG..",1.23056997262737,0.0732523476054846,1.06403306765878,1.41843817363542,0.00462049364238913
"203","FAw3.FA",0.80148455362147,0.0791117970692637,0.685669643429954,0.93503648087814,0.00515515258411771
"169","LDL.D",1.2310148711029,0.0744941816641208,1.0631205158068,1.42385346510675,0.00527076901706433
"93","S.HDL.PL",1.24870638293229,0.0803217975464222,1.06688046754922,1.46145041181862,0.00568829389312355
"67","S.LDL.CE",0.809277279122238,0.0766634675216698,0.696136162450429,0.940318595151601,0.00577494388401261
"142","M.LDL.TG..",1.21697789728178,0.0735273186700367,1.05160296973588,1.40338863746106,0.00756894542666991
"66","S.LDL.C",0.817548624183039,0.0762548629443164,0.703955822412738,0.94936142354388,0.00824833352455656
"60","M.LDL.CE",0.818959216414769,0.0763958665233481,0.704927826801126,0.951202864341691,0.00894129593216836
"120","S.VLDL.CE..",0.833889267733147,0.0710416154714757,0.726713090565987,0.960841211800409,0.0105573889280959
"134","L.LDL.C..",0.850679003947905,0.0636804831690164,0.751933332579514,0.967844544550695,0.0110991943821951
"59","M.LDL.C",0.825109791637554,0.0758707392033863,0.711128201844771,0.957600857569612,0.0112843543343601
"202","LA.FA",0.842338017639027,0.0685203628832987,0.738678050784226,0.967037505240987,0.012280355287582
"86","M.HDL.PL",1.20674712422944,0.0750951355396193,1.04054887037071,1.39721065189597,0.0123306470315579
"84","M.HDL.P",1.20085197660441,0.0738345527145029,1.03766598287419,1.38663075971959,0.0131774174774371
"94","S.HDL.C",0.837291314209212,0.0721977255487454,0.728429910074689,0.967740698600198,0.0139061364254435
"128","IDL.PL..",0.837716855399578,0.0722176329017183,0.728643799458425,0.967967925068829,0.0142078433098917
"119","S.VLDL.C..",0.83493598250895,0.0736104216041905,0.723601700095162,0.965932309810245,0.0142561703818266
"141","M.LDL.FC..",1.19656178571074,0.0734412414537777,1.03384968768238,1.37925666241111,0.0145463423097817
"90","M.HDL.TG",1.19827411968834,0.0749917832841213,1.03311867871092,1.38662873946545,0.0158640591625601
"146","S.LDL.FC..",1.19513042880735,0.0739410738653448,1.03211014202134,1.37953026138405,0.0159186462848115
"137","L.LDL.TG..",1.19037103211165,0.0726380268492673,1.03010215047343,1.3699525813214,0.0164359446390235
"206","MUFA.FA",1.1925170018627,0.0741732241384443,1.03010943178208,1.37795927768106,0.0176100689545361
"183","HDL.TG",1.19864023251223,0.0766409685670168,1.03146219015174,1.39316515857933,0.0180733851841601
"5","XXL.VLDL.FC",1.18618679426456,0.0722248681212279,1.02525225074139,1.36215160721015,0.0180759754802555
"133","L.LDL.PL..",1.17452411540616,0.0688944325031634,1.02256492055167,1.34088097336066,0.0195475479698588
"85","M.HDL.L",1.19550342776572,0.0765347942086999,1.02835136054863,1.38850258809922,0.0196401231736026
"168","VLDL.D",1.19702633038466,0.0771640264688881,1.02902262174387,1.39278447714534,0.0197731323937564
"174","LDL.C",0.844249219686286,0.0731800818150476,0.732778743331415,0.976652069618417,0.0206910942118381
"13","XL.VLDL.TG",1.18318879877544,0.0732300129333923,1.02145065015974,1.36201821820314,0.0216157896421454
"6","XXL.VLDL.TG",1.18251589627407,0.0730505700903414,1.02058671690732,1.36020358190798,0.021738439207442
"2","XXL.VLDL.PL",1.18107749897905,0.0727136483764762,1.01978979505081,1.35747183080049,0.0220908490588403
"208","Glc",1.18253852540756,0.0741023652924329,1.02003131680781,1.36392773444477,0.0236608504198638
"1","XXL.VLDL.L",1.17854715631248,0.0732245842847387,1.01698016215677,1.35619435095488,0.0248618616254801
"136","L.LDL.FC..",0.868119432073134,0.0630657136339377,0.768184120931019,0.98925659019368,0.0249279325094762
"64","S.LDL.L",0.844260311917698,0.0755469767847681,0.728264418833258,0.979430645213615,0.0250315368205757
"57","M.LDL.L",0.845390973413086,0.0751532736874101,0.729899312375276,0.980128209785305,0.0254273950834529
"7","XL.VLDL.P",1.17482711274502,0.0726053186662056,1.01477924265456,1.35012930585105,0.0264775463723547
"8","XL.VLDL.L",1.17649597489892,0.073682337076601,1.01503895367443,1.35571859392521,0.027386591808363
"9","XL.VLDL.PL",1.17090266603655,0.0730156604072267,1.01071204697412,1.34673932307221,0.0307079114627109
"63","S.LDL.P",0.848312939709121,0.0769601912207766,0.729046935509589,0.985862617744483,0.0325538938250599
"56","M.LDL.P",0.848718625341072,0.0770727075960252,0.72910730995395,0.986386288414287,0.0333189669670327
"20","L.VLDL.TG",1.17032559233469,0.0744555224765131,1.00896064604317,1.35145595635343,0.0346496821685364
"40","XS.VLDL.FC",0.848799260011916,0.0777776850507582,0.727811396381296,0.987347036690844,0.035056350054579
"19","L.VLDL.FC",1.1665393794685,0.0733080252159623,1.00685921644393,1.34290955430643,0.035615337231982
"12","XL.VLDL.FC",1.16559389083321,0.0729847166849272,1.00609281364945,1.34041578769033,0.0357736658858015
"54","L.LDL.FC",0.850961259722154,0.0770209077873647,0.731475087166955,0.989416676020392,0.0361365283533207
"47","IDL.FC",0.851631160404008,0.0768091323252185,0.732488014693874,0.98996019374897,0.0365352298102526
"226","Alb",1.17637845606413,0.0780829910001178,1.01107352090715,1.37284324019803,0.0374926626732726
"116","M.VLDL.FC..",1.20577918994298,0.0903439165592749,1.01768252697526,1.45008164186196,0.0383342487813883
"14","L.VLDL.P",1.16089350032375,0.0730713017824491,1.0021346526744,1.33549367491453,0.0411809039499012
"68","S.LDL.FC",0.857866658776726,0.0753323601873464,0.740370659526282,0.9948494265416,0.0418438638992096
"15","L.VLDL.L",1.16446045655626,0.0750351926841611,1.00328515910414,1.3468047513858,0.0424427551874493
"61","M.LDL.FC",0.858751565450146,0.075047519640188,0.741572094752936,0.995359756966695,0.0424525969802466
